Team Against,Draw,Win,Loss,Matches
Albania,0,8,0,8
Algeria,0,1,0,1
Andorra,0,1,0,1
Argentina,2,6,6,14
Armenia,0,6,0,6
Australia,0,1,0,1
Austria,3,9,4,16
Azerbaijan,0,1,0,1
Belarus,0,4,0,4
Belgium,5,11,5,21
Bolivia,0,2,0,2
Bosnia and Herzegovina,2,6,0,8
Brazil,2,2,5,9
Bulgaria,1,4,0,5
Canada,0,2,0,2
Catalonia,0,3,1,4
Chile,2,8,1,11
China PR,0,2,0,2
Colombia,2,1,0,3
Costa Rica,1,2,0,3
Croatia,1,5,3,9
Cyprus,0,7,1,8
Czech Republic,2,5,0,7
Czechoslovakia,1,4,6,11
Denmark,2,12,2,16
Ecuador,0,2,0,2
Egypt,0,1,0,1
El Salvador,0,1,0,1
England,3,10,14,27
Equatorial Guinea,0,1,0,1
Estonia,0,2,0,2
Faroe Islands,0,4,0,4
Finland,2,5,1,8
France,7,16,13,36
Georgia,0,4,1,5
German DR,2,0,1,3
Germany,8,8,9,25
Greece,3,8,1,12
Haiti,0,1,0,1
Honduras,1,1,0,2
Hungary,5,5,3,13
Iceland,2,7,1,10
Iran,0,1,0,1
Iraq,0,1,0,1
Israel,1,5,0,6
Italy,12,13,10,35
Ivory Coast,0,1,0,1
Japan,0,1,0,1
Kosovo,0,2,0,2
Latvia,1,3,0,4
Liechtenstein,0,8,0,8
Lithuania,1,6,0,7
Luxembourg,0,6,0,6
Malta,0,8,0,8
Mexico,3,3,0,6
Morocco,1,2,0,3
Netherlands,2,4,6,12
New Zealand,0,1,0,1
Nigeria,0,1,1,2
North Macedonia,0,7,0,7
Northern Ireland,5,11,2,18
Norway,2,5,1,8
Panama,0,1,0,1
Paraguay,2,2,0,4
Peru,0,3,0,3
Poland,2,8,1,11
Portugal,16,17,8,41
Puerto Rico,0,1,0,1
Republic of Ireland,6,16,4,26
Romania,6,7,5,18
Russia,4,6,2,12
San Marino,0,4,0,4
Saudi Arabia,0,3,0,3
Scotland,4,6,3,13
Serbia,3,3,0,6
Slovakia,1,5,1,7
Slovenia,0,2,0,2
South Africa,0,3,1,4
South Korea,1,4,1,6
Sweden,6,7,4,17
Switzerland,5,18,2,25
Tahiti,0,1,0,1
Tunisia,0,2,0,2
Turkey,4,5,1,10
Ukraine,1,5,1,7
United States,0,4,1,5
Uruguay,5,5,0,10
Venezuela,0,4,0,4
Wales,2,3,1,6
Yugoslavia,4,7,5,16
