,Team,Result,FIFA Ranking,Results,Ranking_Value,Group_16_reacher,Matches,Result_percentage
0,Argentina,Draw,3,233,3,2,1010,23.07
1,Argentina,Loss,3,219,3,2,1010,21.68
2,Argentina,Win,3,558,3,2,1010,55.25
3,Australia,Draw,38,110,1,2,536,20.52
4,Australia,Loss,38,154,1,2,536,28.73
5,Australia,Win,38,272,1,2,536,50.75
6,Belgium,Draw,2,168,3,2,801,20.97
7,Belgium,Loss,2,277,3,2,801,34.58
8,Belgium,Win,2,356,3,2,801,44.44
9,Brazil,Draw,1,191,3,2,1016,18.8
10,Brazil,Loss,1,165,3,2,1016,16.24
11,Brazil,Win,1,660,3,2,1016,64.96
12,Cameroon,Draw,43,162,0,2,571,28.37
13,Cameroon,Loss,43,152,0,2,571,26.62
14,Cameroon,Win,43,257,0,2,571,45.01
15,Canada,Draw,41,88,0,0,412,21.36
16,Canada,Loss,41,168,0,0,412,40.78
17,Canada,Win,41,156,0,0,412,37.86
18,Costa Rica,Draw,31,155,1,2,647,23.96
19,Costa Rica,Loss,31,212,1,2,647,32.77
20,Costa Rica,Win,31,280,1,2,647,43.28
21,Croatia,Draw,12,85,2,2,351,24.22
22,Croatia,Loss,12,77,2,2,351,21.94
23,Croatia,Win,12,189,2,2,351,53.85
24,Denmark,Draw,10,167,3,2,829,20.14
25,Denmark,Loss,10,281,3,2,829,33.9
26,Denmark,Win,10,381,3,2,829,45.96
27,Ecuador,Draw,44,136,0,2,546,24.91
28,Ecuador,Loss,44,244,0,2,546,44.69
29,Ecuador,Win,44,166,0,2,546,30.4
30,England,Draw,5,239,3,2,1044,22.89
31,England,Loss,5,208,3,2,1044,19.92
32,England,Win,5,597,3,2,1044,57.18
33,France,Draw,4,178,3,2,872,20.41
34,France,Loss,4,254,3,2,872,29.13
35,France,Win,4,440,3,2,872,50.46
36,Germany,Draw,11,197,2,2,982,20.06
37,Germany,Loss,11,207,2,2,982,21.08
38,Germany,Win,11,578,2,2,982,58.86
39,Ghana,Draw,61,158,0,2,632,25.0
40,Ghana,Loss,61,172,0,2,632,27.22
41,Ghana,Win,61,302,0,2,632,47.78
42,Iran,Draw,20,112,2,0,518,21.62
43,Iran,Loss,20,111,2,0,518,21.43
44,Iran,Win,20,295,2,0,518,56.95
45,Japan,Draw,24,140,1,2,680,20.59
46,Japan,Loss,24,208,1,2,680,30.59
47,Japan,Win,24,332,1,2,680,48.82
48,Mexico,Draw,13,200,2,2,921,21.72
49,Mexico,Loss,13,249,2,2,921,27.04
50,Mexico,Win,13,472,2,2,921,51.25
51,Morocco,Draw,22,154,1,2,572,26.92
52,Morocco,Loss,22,145,1,2,572,25.35
53,Morocco,Win,22,273,1,2,572,47.73
54,Netherlands,Draw,8,176,3,2,817,21.54
55,Netherlands,Loss,8,220,3,2,817,26.93
56,Netherlands,Win,8,421,3,2,817,51.53
57,Poland,Draw,26,212,1,2,847,25.03
58,Poland,Loss,26,269,1,2,847,31.76
59,Poland,Win,26,366,1,2,847,43.21
60,Portugal,Draw,9,146,3,2,645,22.64
61,Portugal,Loss,9,181,3,2,645,28.06
62,Portugal,Win,9,318,3,2,645,49.3
63,Qatar,Draw,50,128,0,0,565,22.65
64,Qatar,Loss,50,199,0,0,565,35.22
65,Qatar,Win,50,238,0,0,565,42.12
66,Saudi Arabia,Draw,51,141,0,2,648,21.76
67,Saudi Arabia,Loss,51,189,0,2,648,29.17
68,Saudi Arabia,Win,51,318,0,2,648,49.07
69,Senegal,Draw,18,143,2,2,578,24.74
70,Senegal,Loss,18,169,2,2,578,29.24
71,Senegal,Win,18,266,2,2,578,46.02
72,Serbia,Draw,21,75,1,0,301,24.92
73,Serbia,Loss,21,88,1,0,301,29.24
74,Serbia,Win,21,138,1,0,301,45.85
75,South Korea,Draw,28,210,1,2,900,23.33
76,South Korea,Loss,28,201,1,2,900,22.33
77,South Korea,Win,28,489,1,2,900,54.33
78,Spain,Draw,7,159,3,2,728,21.84
79,Spain,Loss,7,139,3,2,728,19.09
80,Spain,Win,7,430,3,2,728,59.07
81,Switzerland,Draw,15,177,2,2,831,21.3
82,Switzerland,Loss,15,358,2,2,831,43.08
83,Switzerland,Win,15,296,2,2,831,35.62
84,Tunisia,Draw,30,166,1,0,619,26.82
85,Tunisia,Loss,30,183,1,0,619,29.56
86,Tunisia,Win,30,270,1,0,619,43.62
87,United States,Draw,16,145,2,2,724,20.03
88,United States,Loss,16,256,2,2,724,35.36
89,United States,Win,16,323,2,2,724,44.61
90,Uruguay,Draw,14,209,2,2,916,22.82
91,Uruguay,Loss,14,301,2,2,916,32.86
92,Uruguay,Win,14,406,2,2,916,44.32
93,Wales,Draw,19,151,2,0,689,21.92
94,Wales,Loss,19,317,2,0,689,46.01
95,Wales,Win,19,221,2,0,689,32.08
